run;trial;from set;prime;target;sex;race;target position;r-k(ascii);file name target;file name distracter;seq;age
3;170;4;m20;dis170;male;caucasian;right;29;Fam50_010_8_m.jpg;Dis03_for_Fam50_010_8_m.jpg;23;8
3;171;3;m21;dis171;male;caucasian;left;157;Fam51_015_9_m.jpg;Dis03_for_Fam51_015_9_m.jpg;4;9
3;172;4;m22;dis172;male;caucasian;right;29;Fam52_015_10_m.jpg;Dis03_for_Fam52_015_10_m.jpg;15;10
3;173;3;m23;dis173;male;caucasian;left;157;Fam53_010_11_m.jpg;Dis03_for_Fam53_010_11_m.jpg;11;11
3;174;4;m24;dis174;male;caucasian;right;29;Fam54_012_12_m.jpg;Dis03_for_Fam54_012_12_m.jpg;44;12
3;175;3;m25;dis175;male;caucasian;left;157;Fam55_013_13_m.jpg;Dis03_for_Fam55_013_13_m.jpg;40;13
3;176;4;m26;dis176;male;caucasian;right;29;Fam56_09_14_m.jpg;Dis03_for_Fam56_09_14_m.jpg;34;14
3;177;3;m27;dis177;male;caucasian;left;157;Fam57_04_15_m.jpg;Dis03_for_Fam57_04_15_m.jpg;14;15
3;178;4;m28;dis178;male;caucasian;right;29;Fam58_010_16_m.jpg;Dis03_for_Fam58_010_16_m.jpg;37;16
3;179;3;m29;dis179;male;caucasian;left;157;Fam59_010_17_m.jpg;Dis03_for_Fam59_010_17_m.jpg;18;17
3;180;4;m30;dis180;male;caucasian;right;29;Fam60_010_18_m.jpg;Dis03_for_Fam60_010_18_m.jpg;21;18
